ASTM G173-03 Reference Spectra Derived from SMARTS v. 2.9.2,,,,,,
Wvlgth nm,Etr W*m-2*nm-1,Global tilt  W*m-2*nm-1,Direct+circumsolar W*m-2*nm-1,,,
1034,6.82E-01,6.80E-01,6.41E-01,,,0
1035,6.84E-01,6.82E-01,6.43E-01,,,0
1036,6.84E-01,6.82E-01,6.43E-01,,,0
1037,6.77E-01,6.75E-01,6.37E-01,,,0
1038,6.74E-01,6.72E-01,6.34E-01,,,0
1039,6.79E-01,6.76E-01,6.38E-01,,,0
1040,6.74E-01,6.72E-01,6.34E-01,,,0
1041,6.75E-01,6.72E-01,6.34E-01,,,0
1042,6.75E-01,6.72E-01,6.34E-01,,,0
1043,6.69E-01,6.65E-01,6.28E-01,,,0
1044,6.72E-01,6.68E-01,6.31E-01,,,0
1045,6.68E-01,6.65E-01,6.27E-01,,,0
1046,6.51E-01,6.47E-01,6.11E-01,,,0
1047,6.62E-01,6.57E-01,6.20E-01,,,0
1048,6.68E-01,6.63E-01,6.26E-01,,,0
1049,6.65E-01,6.59E-01,6.22E-01,,,0
1050,6.61E-01,6.55E-01,6.18E-01,,,0
1051,6.62E-01,6.55E-01,6.19E-01,,,0
1052,6.58E-01,6.51E-01,6.15E-01,,,0
1053,6.57E-01,6.49E-01,6.13E-01,,,0
1054,6.55E-01,6.46E-01,6.10E-01,,,0
1055,6.58E-01,6.48E-01,6.12E-01,,,0
1056,6.56E-01,6.46E-01,6.11E-01,,,0
1057,6.55E-01,6.45E-01,6.09E-01,,,0
1058,6.49E-01,6.38E-01,6.03E-01,,,0
1059,6.30E-01,6.19E-01,5.85E-01,,,0
1060,6.48E-01,6.36E-01,6.01E-01,,,0
1061,6.34E-01,6.21E-01,5.87E-01,,,0
1062,6.47E-01,6.33E-01,5.98E-01,,,0
1063,6.37E-01,6.22E-01,5.88E-01,,,0
1064,6.46E-01,6.32E-01,5.97E-01,,,0
1065,6.45E-01,6.29E-01,5.95E-01,,,0
1066,6.31E-01,6.17E-01,5.83E-01,,,0
1067,6.35E-01,6.20E-01,5.86E-01,,,0
1068,6.36E-01,6.19E-01,5.86E-01,,,0
1069,6.01E-01,5.86E-01,5.54E-01,,,0
1070,6.22E-01,6.05E-01,5.72E-01,,,0
1071,6.28E-01,6.17E-01,5.83E-01,,,0
1072,6.31E-01,6.15E-01,5.82E-01,,,0
1073,6.18E-01,6.04E-01,5.71E-01,,,0
1074,6.31E-01,6.22E-01,5.88E-01,,,0
1075,6.18E-01,5.93E-01,5.61E-01,,,0
1076,6.25E-01,6.15E-01,5.81E-01,,,0
1077,6.24E-01,6.04E-01,5.72E-01,,,0
1078,6.25E-01,6.03E-01,5.71E-01,,,0
1079,6.12E-01,6.05E-01,5.72E-01,,,0
1080,6.23E-01,5.97E-01,5.65E-01,,,0
1081,6.07E-01,5.81E-01,5.50E-01,,,0
1082,6.02E-01,5.89E-01,5.58E-01,,,0
1083,6.09E-01,5.98E-01,5.66E-01,,,0
1084,6.14E-01,5.79E-01,5.48E-01,,,0
1085,6.12E-01,5.93E-01,5.62E-01,,,0
1086,6.16E-01,5.54E-01,5.25E-01,,,0
1087,5.91E-01,5.67E-01,5.37E-01,,,0
1088,6.07E-01,5.93E-01,5.62E-01,,,0
1089,6.09E-01,5.79E-01,5.49E-01,,,0
1090,6.04E-01,5.56E-01,5.27E-01,,,0
1091,6.08E-01,5.88E-01,5.57E-01,,,0
1092,5.97E-01,5.81E-01,5.50E-01,,,0
1093,5.92E-01,5.11E-01,4.84E-01,,,0
1094,5.61E-01,5.40E-01,5.11E-01,,,0
1095,5.83E-01,5.21E-01,4.94E-01,,,0
1096,5.86E-01,5.03E-01,4.77E-01,,,0
1097,5.91E-01,5.79E-01,5.48E-01,,,0
1098,5.87E-01,5.03E-01,4.77E-01,,,0
1099,5.82E-01,5.08E-01,4.82E-01,,,0
1100,6.00E-01,4.86E-01,4.61E-01,,,0
1101,5.99E-01,4.97E-01,4.72E-01,,,0
1102,5.82E-01,4.69E-01,4.45E-01,,,0
1103,5.95E-01,4.66E-01,4.43E-01,,,0
1104,5.93E-01,4.68E-01,4.44E-01,,,0
1105,5.91E-01,5.06E-01,4.81E-01,,,0
1106,5.90E-01,3.98E-01,3.78E-01,,,0
1107,5.86E-01,4.83E-01,4.59E-01,,,0
1108,5.87E-01,4.16E-01,3.95E-01,,,0
1109,5.86E-01,4.13E-01,3.92E-01,,,0
1110,5.87E-01,4.79E-01,4.55E-01,,,0
1111,5.83E-01,3.32E-01,3.16E-01,,,0
1112,5.83E-01,4.14E-01,3.93E-01,,,0
1113,5.78E-01,2.69E-01,2.56E-01,,,0
1114,5.84E-01,3.00E-01,2.86E-01,,,0
1115,5.82E-01,2.50E-01,2.38E-01,,,0
1116,5.75E-01,2.01E-01,1.92E-01,,,0
1117,5.83E-01,7.96E-02,7.62E-02,,,0
1118,5.72E-01,2.18E-01,2.08E-01,,,0
1119,5.72E-01,1.13E-01,1.08E-01,,,0
1120,5.69E-01,1.42E-01,1.36E-01,,,0
1121,5.72E-01,1.86E-01,1.78E-01,,,0
1122,5.75E-01,8.17E-02,7.82E-02,,,0
1123,5.74E-01,1.28E-01,1.23E-01,,,0
1124,5.73E-01,1.09E-01,1.04E-01,,,0
1125,5.70E-01,1.44E-01,1.38E-01,,,0
1126,5.53E-01,5.16E-02,4.94E-02,,,0
1127,5.62E-01,1.57E-01,1.50E-01,,,0
1128,5.68E-01,9.92E-02,9.49E-02,,,0
1129,5.68E-01,1.06E-01,1.01E-01,,,0
1130,5.64E-01,7.06E-02,6.76E-02,,,0
1131,5.68E-01,2.96E-01,2.82E-01,,,0
1132,5.70E-01,2.34E-01,2.24E-01,,,0
1133,5.62E-01,1.53E-01,1.47E-01,,,0
1134,5.63E-01,4.17E-02,4.00E-02,,,0
1135,5.63E-01,1.55E-02,1.48E-02,,,0
1136,5.65E-01,1.29E-01,1.23E-01,,,0
1137,5.52E-01,2.88E-01,2.75E-01,,,0
1138,5.44E-01,2.03E-01,1.94E-01,,,0
1139,5.53E-01,2.99E-01,2.85E-01,,,0
1140,5.56E-01,2.56E-01,2.44E-01,,,0
1141,5.43E-01,1.93E-01,1.85E-01,,,0
1142,5.55E-01,2.25E-01,2.15E-01,,,0
1143,5.50E-01,3.12E-01,2.98E-01,,,0
1144,5.45E-01,1.13E-01,1.08E-01,,,0
1145,5.50E-01,1.46E-01,1.40E-01,,,0
1146,5.54E-01,1.58E-01,1.51E-01,,,0
1147,5.54E-01,5.92E-02,5.67E-02,,,0
1148,5.50E-01,2.71E-01,2.59E-01,,,0
1149,5.48E-01,2.19E-01,2.09E-01,,,0
1150,5.46E-01,1.22E-01,1.16E-01,,,0
1151,5.45E-01,2.03E-01,1.95E-01,,,0
1152,5.42E-01,2.48E-01,2.37E-01,,,0
1153,5.43E-01,2.38E-01,2.28E-01,,,0
1154,5.47E-01,1.42E-01,1.36E-01,,,0
1155,5.47E-01,3.13E-01,2.99E-01,,,0
1156,5.40E-01,2.81E-01,2.68E-01,,,0
1157,5.44E-01,3.15E-01,3.00E-01,,,0
1158,5.43E-01,3.12E-01,2.98E-01,,,0
1159,5.35E-01,3.37E-01,3.22E-01,,,0
1160,5.29E-01,2.86E-01,2.74E-01,,,0
1161,5.19E-01,3.48E-01,3.32E-01,,,0
1162,5.33E-01,3.50E-01,3.34E-01,,,0
1163,5.37E-01,4.69E-01,4.46E-01,,,0
1164,5.27E-01,4.02E-01,3.83E-01,,,0
1165,5.35E-01,3.89E-01,3.71E-01,,,0
1166,5.22E-01,3.75E-01,3.58E-01,,,0
1167,5.30E-01,4.10E-01,3.91E-01,,,0
1168,5.34E-01,4.20E-01,4.00E-01,,,0
1169,5.16E-01,4.23E-01,4.03E-01,,,0
1170,5.29E-01,4.59E-01,4.37E-01,,,0
1171,5.31E-01,4.48E-01,4.28E-01,,,0
1172,5.31E-01,4.55E-01,4.34E-01,,,0
1173,5.27E-01,4.56E-01,4.35E-01,,,0
1174,5.28E-01,3.37E-01,3.22E-01,,,0
1175,5.19E-01,4.52E-01,4.31E-01,,,0
1176,5.10E-01,4.77E-01,4.54E-01,,,0
1177,5.23E-01,4.72E-01,4.50E-01,,,0
1178,5.17E-01,3.60E-01,3.44E-01,,,0
1179,5.15E-01,4.84E-01,4.61E-01,,,0
1180,5.22E-01,4.41E-01,4.21E-01,,,0
1181,5.18E-01,4.55E-01,4.34E-01,,,0
1182,5.17E-01,3.23E-01,3.09E-01,,,0
1183,4.88E-01,4.39E-01,4.19E-01,,,0
1184,5.11E-01,4.20E-01,4.01E-01,,,0
1185,5.16E-01,4.07E-01,3.89E-01,,,0
1186,5.15E-01,4.77E-01,4.55E-01,,,0
1187,5.15E-01,4.56E-01,4.35E-01,,,0
1188,5.10E-01,3.35E-01,3.20E-01,,,0
1189,4.84E-01,4.16E-01,3.97E-01,,,0
1190,5.06E-01,4.62E-01,4.41E-01,,,0
1191,5.14E-01,4.47E-01,4.26E-01,,,0
1192,5.12E-01,4.73E-01,4.52E-01,,,0
1193,5.11E-01,4.54E-01,4.34E-01,,,0
1194,5.11E-01,4.69E-01,4.48E-01,,,0
1195,5.06E-01,4.47E-01,4.27E-01,,,0
1196,5.06E-01,4.31E-01,4.12E-01,,,0
1197,5.03E-01,4.77E-01,4.55E-01,,,0
1198,4.92E-01,4.34E-01,4.14E-01,,,0
1199,4.74E-01,3.65E-01,3.49E-01,,,0
1200,5.00E-01,4.48E-01,4.28E-01,,,0
1201,5.06E-01,4.37E-01,4.17E-01,,,0
1202,5.07E-01,4.37E-01,4.17E-01,,,0
1203,4.88E-01,4.34E-01,4.14E-01,,,0
1204,4.87E-01,3.62E-01,3.46E-01,,,0
1205,5.02E-01,4.37E-01,4.17E-01,,,0
1206,4.99E-01,4.81E-01,4.59E-01,,,0
1207,5.01E-01,4.30E-01,4.10E-01,,,0
1208,4.90E-01,4.33E-01,4.14E-01,,,0
1209,4.66E-01,4.14E-01,3.95E-01,,,0
1210,4.92E-01,4.53E-01,4.33E-01,,,0
1211,4.79E-01,4.22E-01,4.03E-01,,,0
1212,4.91E-01,4.25E-01,4.06E-01,,,0
1213,4.92E-01,4.70E-01,4.48E-01,,,0
1214,4.89E-01,4.34E-01,4.14E-01,,,0
1215,4.90E-01,4.28E-01,4.09E-01,,,0
1216,4.89E-01,4.66E-01,4.45E-01,,,0
1217,4.88E-01,4.55E-01,4.35E-01,,,0
1218,4.86E-01,4.59E-01,4.38E-01,,,0
1219,4.82E-01,4.47E-01,4.26E-01,,,0
1220,4.84E-01,4.58E-01,4.37E-01,,,0
1221,4.83E-01,4.65E-01,4.44E-01,,,0
1222,4.81E-01,4.51E-01,4.31E-01,,,0
1223,4.76E-01,4.44E-01,4.24E-01,,,0
1224,4.82E-01,4.48E-01,4.28E-01,,,0
1225,4.79E-01,4.62E-01,4.41E-01,,,0
1226,4.80E-01,4.68E-01,4.47E-01,,,0
1227,4.68E-01,4.33E-01,4.14E-01,,,0
1228,4.74E-01,4.67E-01,4.45E-01,,,0
1229,4.77E-01,4.67E-01,4.46E-01,,,0
1230,4.75E-01,4.60E-01,4.39E-01,,,0
1231,4.74E-01,4.72E-01,4.51E-01,,,0
1232,4.69E-01,4.66E-01,4.45E-01,,,0
1233,4.71E-01,4.54E-01,4.34E-01,,,0
1234,4.69E-01,4.70E-01,4.49E-01,,,0
1235,4.66E-01,4.65E-01,4.44E-01,,,0
1236,4.69E-01,4.69E-01,4.48E-01,,,0
1237,4.68E-01,4.63E-01,4.43E-01,,,0
1238,4.67E-01,4.68E-01,4.47E-01,,,0
1239,4.62E-01,4.63E-01,4.42E-01,,,0
1240,4.60E-01,4.61E-01,4.40E-01,,,0
1241,4.64E-01,4.62E-01,4.41E-01,,,0
1242,4.62E-01,4.62E-01,4.42E-01,,,0
1243,4.57E-01,4.58E-01,4.37E-01,,,0
1244,4.55E-01,4.55E-01,4.35E-01,,,0
1245,4.56E-01,4.57E-01,4.36E-01,,,0
1246,4.59E-01,4.59E-01,4.39E-01,,,0
1247,4.58E-01,4.57E-01,4.37E-01,,,0
1248,4.61E-01,4.59E-01,4.38E-01,,,0
1249,4.60E-01,4.60E-01,4.39E-01,,,0
1250,4.59E-01,4.57E-01,4.37E-01,,,0
1251,4.56E-01,4.53E-01,4.33E-01,,,0
1252,4.52E-01,4.51E-01,4.31E-01,,,0
1253,4.54E-01,4.48E-01,4.28E-01,,,0
1254,4.54E-01,4.44E-01,4.24E-01,,,0
1255,4.53E-01,4.51E-01,4.31E-01,,,0
1256,4.52E-01,4.40E-01,4.21E-01,,,0
1257,4.49E-01,4.35E-01,4.16E-01,,,0
1258,4.51E-01,4.45E-01,4.25E-01,,,0
1259,4.48E-01,4.27E-01,4.09E-01,,,0
1260,4.50E-01,4.31E-01,4.12E-01,,,0
1261,4.49E-01,4.11E-01,3.94E-01,,,0
1262,4.43E-01,3.96E-01,3.79E-01,,,0
1263,4.48E-01,4.00E-01,3.83E-01,,,0
1264,4.42E-01,3.71E-01,3.56E-01,,,0
1265,4.43E-01,3.96E-01,3.79E-01,,,0
1266,4.46E-01,3.85E-01,3.69E-01,,,0
1267,4.39E-01,3.88E-01,3.72E-01,,,0
1268,4.36E-01,3.71E-01,3.55E-01,,,0
1269,4.40E-01,2.47E-01,2.37E-01,,,0
1270,4.42E-01,3.87E-01,3.71E-01,,,0
1271,4.43E-01,4.08E-01,3.91E-01,,,0
1272,4.41E-01,4.09E-01,3.91E-01,,,0
1273,4.41E-01,4.06E-01,3.89E-01,,,0
1274,4.38E-01,4.06E-01,3.89E-01,,,0
1275,4.41E-01,4.12E-01,3.95E-01,,,0
1276,4.42E-01,4.17E-01,3.99E-01,,,0
1277,4.42E-01,4.20E-01,4.02E-01,,,0
1278,4.41E-01,4.28E-01,4.09E-01,,,0
1279,4.38E-01,4.25E-01,4.06E-01,,,0
1280,4.35E-01,4.22E-01,4.04E-01,,,0
1281,4.23E-01,4.13E-01,3.96E-01,,,0
1282,3.76E-01,3.73E-01,3.57E-01,,,0
1283,4.12E-01,4.07E-01,3.90E-01,,,0
1284,4.27E-01,4.21E-01,4.03E-01,,,0
1285,4.29E-01,4.24E-01,4.06E-01,,,0
1286,4.29E-01,4.27E-01,4.09E-01,,,0
1287,4.30E-01,4.22E-01,4.04E-01,,,0
1288,4.27E-01,4.20E-01,4.02E-01,,,0
1289,4.28E-01,4.09E-01,3.92E-01,,,0
1290,4.19E-01,4.13E-01,3.95E-01,,,0
1291,4.22E-01,4.18E-01,4.00E-01,,,0
1292,4.23E-01,3.96E-01,3.79E-01,,,0
1293,4.23E-01,4.13E-01,3.95E-01,,,0
1294,4.16E-01,4.04E-01,3.87E-01,,,0
1295,4.19E-01,4.05E-01,3.88E-01,,,0
1296,4.20E-01,3.90E-01,3.73E-01,,,0
1297,4.17E-01,3.71E-01,3.56E-01,,,0
1298,4.13E-01,3.92E-01,3.75E-01,,,0
1299,4.17E-01,4.09E-01,3.91E-01,,,0
1300,4.15E-01,3.53E-01,3.39E-01,,,0
1301,4.14E-01,3.62E-01,3.47E-01,,,0
1302,4.10E-01,3.92E-01,3.75E-01,,,0
1303,4.08E-01,3.46E-01,3.32E-01,,,0
1304,4.06E-01,3.01E-01,2.88E-01,,,0
1305,4.10E-01,3.84E-01,3.68E-01,,,0
1306,4.10E-01,3.85E-01,3.69E-01,,,0
1307,4.10E-01,3.06E-01,2.94E-01,,,0
1308,4.09E-01,3.47E-01,3.33E-01,,,0
1309,4.09E-01,3.84E-01,3.68E-01,,,0
1310,4.07E-01,3.01E-01,2.89E-01,,,0
1311,4.06E-01,3.34E-01,3.20E-01,,,0
1312,4.03E-01,3.33E-01,3.20E-01,,,0
1313,3.91E-01,3.14E-01,3.01E-01,,,0
1314,4.03E-01,2.88E-01,2.77E-01,,,0
1315,3.92E-01,2.86E-01,2.74E-01,,,0
1316,3.94E-01,3.24E-01,3.11E-01,,,0
1317,4.01E-01,3.12E-01,3.00E-01,,,0
1318,3.95E-01,3.33E-01,3.20E-01,,,0
1319,4.01E-01,2.69E-01,2.58E-01,,,0
1320,3.99E-01,2.59E-01,2.49E-01,,,0
1321,3.95E-01,2.99E-01,2.87E-01,,,0
1322,3.95E-01,3.02E-01,2.90E-01,,,0
1323,3.95E-01,2.33E-01,2.24E-01,,,0
1324,3.95E-01,2.62E-01,2.52E-01,,,0
1325,3.94E-01,3.22E-01,3.09E-01,,,0
1326,3.92E-01,2.81E-01,2.70E-01,,,0
1327,3.89E-01,2.66E-01,2.56E-01,,,0
1328,3.91E-01,2.35E-01,2.26E-01,,,0
1329,3.80E-01,1.78E-01,1.71E-01,,,0
1330,3.85E-01,2.29E-01,2.21E-01,,,0
1331,3.88E-01,1.45E-01,1.40E-01,,,0
1332,3.79E-01,1.46E-01,1.40E-01,,,0
1333,3.87E-01,2.03E-01,1.95E-01,,,0
1334,3.87E-01,1.69E-01,1.63E-01,,,0
1335,3.86E-01,2.31E-01,2.22E-01,,,0
1336,3.82E-01,1.83E-01,1.77E-01,,,0
1337,3.83E-01,1.65E-01,1.59E-01,,,0
1338,3.81E-01,1.78E-01,1.72E-01,,,0
1339,3.76E-01,1.77E-01,1.70E-01,,,0
1340,3.74E-01,1.68E-01,1.62E-01,,,0
1341,3.82E-01,1.70E-01,1.64E-01,,,0
1342,3.80E-01,1.78E-01,1.71E-01,,,0
1343,3.80E-01,1.27E-01,1.23E-01,,,0
1344,3.80E-01,7.56E-02,7.30E-02,,,0
1345,3.80E-01,1.09E-01,1.05E-01,,,0
1346,3.76E-01,5.82E-02,5.62E-02,,,0
1347,3.78E-01,6.01E-02,5.81E-02,,,0
1348,3.77E-01,4.75E-03,4.59E-03,,,0
1349,3.76E-01,1.62E-02,1.56E-02,,,0
1350,3.71E-01,1.60E-02,1.55E-02,,,0
1351,3.72E-01,4.63E-03,4.48E-03,,,0
1352,3.75E-01,1.52E-03,1.47E-03,,,0
1353,3.74E-01,9.61E-05,9.29E-05,,,0
1354,3.73E-01,2.90E-04,2.81E-04,,,0
1355,3.68E-01,3.60E-06,3.48E-06,,,0
1356,3.69E-01,4.81E-05,4.65E-05,,,0
1357,3.64E-01,7.18E-05,6.94E-05,,,0
1358,3.70E-01,4.19E-06,4.06E-06,,,0
1359,3.69E-01,7.34E-07,7.10E-07,,,0
1360,3.65E-01,2.14E-06,2.07E-06,,,0
1361,3.70E-01,4.81E-09,4.66E-09,,,0
1362,3.69E-01,1.81E-11,1.75E-11,,,0
1363,3.62E-01,3.16E-06,3.05E-06,,,0
1364,3.67E-01,1.36E-06,1.32E-06,,,0
1365,3.66E-01,9.08E-12,8.78E-12,,,0
1366,3.66E-01,1.28E-05,1.24E-05,,,0
1367,3.62E-01,4.98E-06,4.82E-06,,,0
1368,3.66E-01,1.48E-13,1.43E-13,,,0
1369,3.59E-01,5.17E-07,5.00E-07,,,0
1370,3.59E-01,2.92E-07,2.83E-07,,,0
1371,3.59E-01,1.97E-08,1.91E-08,,,0
1372,3.63E-01,2.75E-06,2.66E-06,,,0
1373,3.63E-01,4.44E-05,4.30E-05,,,0
1374,3.63E-01,1.79E-04,1.74E-04,,,0
1375,3.57E-01,3.23E-04,3.13E-04,,,0
1376,3.54E-01,2.57E-04,2.49E-04,,,0
1377,3.58E-01,1.23E-04,1.19E-04,,,0
1378,3.57E-01,1.11E-03,1.07E-03,,,0
1379,3.60E-01,5.22E-05,5.05E-05,,,0
1380,3.57E-01,8.16E-05,7.90E-05,,,0
1381,3.58E-01,2.37E-06,2.30E-06,,,0
1382,3.53E-01,2.57E-06,2.49E-06,,,0
1383,3.54E-01,4.40E-08,4.27E-08,,,0
1384,3.56E-01,6.17E-07,5.98E-07,,,0
1385,3.52E-01,2.09E-06,2.03E-06,,,0
1386,3.55E-01,2.52E-06,2.44E-06,,,0
1387,3.51E-01,1.99E-04,1.93E-04,,,0
1388,3.53E-01,4.03E-06,3.90E-06,,,0
1389,3.54E-01,5.81E-04,5.63E-04,,,0
1390,3.47E-01,4.93E-04,4.78E-04,,,0
1391,3.52E-01,3.44E-04,3.33E-04,,,0
1392,3.52E-01,2.38E-05,2.31E-05,,,0
1393,3.50E-01,1.16E-04,1.12E-04,,,0
1394,3.48E-01,7.55E-05,7.33E-05,,,0
1395,3.48E-01,6.71E-07,6.51E-07,,,0
1396,3.49E-01,6.32E-09,6.13E-09,,,0
1397,3.49E-01,4.91E-05,4.76E-05,,,0
1398,3.50E-01,1.27E-03,1.23E-03,,,0
1399,3.49E-01,8.12E-04,7.88E-04,,,0
1400,3.39E-01,3.25E-09,3.15E-09,,,0
1401,3.39E-01,1.05E-08,1.02E-08,,,0
1402,3.44E-01,1.84E-03,1.78E-03,,,0
1403,3.40E-01,2.38E-03,2.31E-03,,,0
1404,3.41E-01,7.39E-04,7.18E-04,,,0
1405,3.40E-01,3.64E-07,3.54E-07,,,0
1406,3.42E-01,2.04E-03,1.99E-03,,,0
1407,3.41E-01,1.75E-04,1.70E-04,,,0
1408,3.40E-01,1.65E-03,1.60E-03,,,0
1409,3.41E-01,6.19E-04,6.02E-04,,,0
1410,3.40E-01,4.67E-04,4.53E-04,,,0
1411,3.38E-01,2.11E-03,2.05E-03,,,0
1412,3.29E-01,2.64E-03,2.57E-03,,,0
1413,3.33E-01,2.34E-02,2.27E-02,,,0
1414,3.37E-01,3.64E-04,3.54E-04,,,0
1415,3.37E-01,1.84E-04,1.79E-04,,,0
1416,3.35E-01,3.56E-02,3.46E-02,,,0
1417,3.37E-01,1.18E-02,1.14E-02,,,0
1418,3.38E-01,1.36E-02,1.32E-02,,,0
1419,3.34E-01,2.14E-03,2.09E-03,,,0
1420,3.33E-01,8.27E-03,8.04E-03,,,0
1421,3.36E-01,9.16E-03,8.91E-03,,,0
1422,3.29E-01,4.63E-02,4.50E-02,,,0
1423,3.29E-01,9.22E-03,8.97E-03,,,0
1424,3.28E-01,1.70E-02,1.65E-02,,,0
1425,3.33E-01,2.59E-02,2.51E-02,,,0
1426,3.23E-01,2.78E-02,2.70E-02,,,0
1427,3.27E-01,4.95E-02,4.82E-02,,,0
1428,3.30E-01,4.56E-03,4.44E-03,,,0
1429,3.23E-01,3.80E-02,3.70E-02,,,0
1430,3.23E-01,6.16E-02,5.99E-02,,,0
1431,3.24E-01,5.02E-02,4.88E-02,,,0
1432,3.31E-01,2.52E-03,2.45E-03,,,0
1433,3.31E-01,3.58E-02,3.49E-02,,,0
1434,3.25E-01,2.10E-02,2.04E-02,,,0
1435,3.27E-01,2.14E-02,2.08E-02,,,0
1436,3.27E-01,3.84E-02,3.73E-02,,,0
1437,3.28E-01,2.99E-02,2.91E-02,,,0
1438,3.26E-01,1.33E-02,1.29E-02,,,0
1439,3.29E-01,5.10E-02,4.97E-02,,,0
1440,3.13E-01,3.96E-02,3.85E-02,,,0
1441,3.17E-01,3.18E-02,3.10E-02,,,0
1442,3.16E-01,3.63E-02,3.54E-02,,,0
1443,3.18E-01,4.51E-02,4.39E-02,,,0
1444,3.19E-01,6.18E-02,6.01E-02,,,0
1445,3.19E-01,4.98E-02,4.84E-02,,,0
1446,3.21E-01,2.31E-02,2.25E-02,,,0
1447,3.18E-01,3.62E-02,3.53E-02,,,0
1448,3.21E-01,1.16E-01,1.13E-01,,,0
1449,3.20E-01,1.02E-01,9.94E-02,,,0
1450,3.18E-01,2.74E-02,2.67E-02,,,0
1451,3.14E-01,1.13E-02,1.10E-02,,,0
1452,3.14E-01,6.24E-02,6.07E-02,,,0
1453,3.15E-01,8.20E-02,7.98E-02,,,0
1454,3.13E-01,1.38E-01,1.34E-01,,,0
1455,3.12E-01,6.62E-02,6.44E-02,,,0
1456,3.10E-01,8.85E-02,8.62E-02,,,0
1457,3.12E-01,1.17E-01,1.14E-01,,,0
1458,3.16E-01,1.36E-01,1.33E-01,,,0
1459,3.17E-01,1.63E-01,1.59E-01,,,0
1460,3.14E-01,8.54E-02,8.32E-02,,,0
1461,3.13E-01,9.03E-02,8.79E-02,,,0
1462,3.10E-01,1.31E-01,1.27E-01,,,0
1463,3.08E-01,4.32E-02,4.21E-02,,,0
1464,3.08E-01,1.52E-01,1.48E-01,,,0
1465,3.12E-01,9.34E-02,9.09E-02,,,0
1466,3.07E-01,6.52E-02,6.35E-02,,,0
1467,3.13E-01,3.61E-02,3.51E-02,,,0
1468,3.08E-01,7.69E-02,7.49E-02,,,0
1469,3.12E-01,9.48E-02,9.23E-02,,,0
1470,3.10E-01,4.97E-02,4.84E-02,,,0
1471,3.04E-01,1.78E-02,1.74E-02,,,0
1472,3.06E-01,4.68E-02,4.56E-02,,,0
1473,3.06E-01,7.02E-02,6.84E-02,,,0
1474,2.97E-01,9.73E-02,9.48E-02,,,0
1475,3.03E-01,1.85E-01,1.80E-01,,,0
1476,3.04E-01,6.88E-02,6.70E-02,,,0
1477,3.03E-01,6.97E-02,6.79E-02,,,0
1478,3.02E-01,6.35E-02,6.18E-02,,,0
1479,3.05E-01,1.20E-01,1.17E-01,,,0
1480,3.06E-01,6.06E-02,5.91E-02,,,0
1481,3.02E-01,1.15E-01,1.12E-01,,,0
1482,3.05E-01,5.85E-02,5.70E-02,,,0
1483,2.98E-01,1.49E-01,1.45E-01,,,0
1484,3.02E-01,1.37E-01,1.34E-01,,,0
1485,3.06E-01,1.25E-01,1.22E-01,,,0
1486,3.02E-01,1.23E-01,1.20E-01,,,0
1487,3.00E-01,6.06E-02,5.90E-02,,,0
1488,2.65E-01,9.42E-02,9.17E-02,,,0
1489,2.99E-01,1.90E-01,1.84E-01,,,0
1490,3.01E-01,1.75E-01,1.70E-01,,,0
1491,3.02E-01,1.98E-01,1.92E-01,,,0
1492,2.98E-01,1.64E-01,1.60E-01,,,0
1493,3.02E-01,1.82E-01,1.77E-01,,,0
1494,3.02E-01,2.04E-01,1.98E-01,,,0
1495,3.01E-01,1.83E-01,1.77E-01,,,0
1496,2.91E-01,1.69E-01,1.64E-01,,,0
1497,2.97E-01,2.29E-01,2.22E-01,,,0
1498,2.99E-01,1.90E-01,1.84E-01,,,0
1499,2.95E-01,2.18E-01,2.11E-01,,,0
1500,3.01E-01,2.51E-01,2.43E-01,,,0
1501,3.00E-01,2.66E-01,2.58E-01,,,0
1502,2.97E-01,2.34E-01,2.27E-01,,,0
1503,2.69E-01,1.85E-01,1.80E-01,,,0
1504,2.83E-01,1.60E-01,1.56E-01,,,0
1505,2.71E-01,1.84E-01,1.79E-01,,,0
1506,2.84E-01,2.58E-01,2.50E-01,,,0
1507,2.94E-01,2.55E-01,2.48E-01,,,0
1508,2.90E-01,2.43E-01,2.36E-01,,,0
1509,2.88E-01,1.87E-01,1.82E-01,,,0
1510,2.94E-01,2.71E-01,2.63E-01,,,0
1511,2.94E-01,2.65E-01,2.57E-01,,,0
1512,2.88E-01,2.61E-01,2.53E-01,,,0
1513,2.87E-01,2.42E-01,2.35E-01,,,0
1514,2.85E-01,2.26E-01,2.19E-01,,,0
1515,2.88E-01,2.66E-01,2.58E-01,,,0
1516,2.87E-01,2.57E-01,2.49E-01,,,0
1517,2.85E-01,2.49E-01,2.42E-01,,,0
1518,2.90E-01,2.52E-01,2.45E-01,,,0
1519,2.85E-01,2.44E-01,2.37E-01,,,0
1520,2.88E-01,2.65E-01,2.57E-01,,,0
1521,2.81E-01,2.75E-01,2.67E-01,,,0
1522,2.80E-01,2.64E-01,2.56E-01,,,0
1523,2.84E-01,2.80E-01,2.72E-01,,,0
1524,2.85E-01,2.75E-01,2.67E-01,,,0
1525,2.78E-01,2.59E-01,2.51E-01,,,0
1526,2.86E-01,2.67E-01,2.60E-01,,,0
1527,2.83E-01,2.62E-01,2.55E-01,,,0
1528,2.85E-01,2.79E-01,2.71E-01,,,0
1529,2.83E-01,2.72E-01,2.65E-01,,,0
